#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1551882128.4714088	normal	1	nan	nan	80.0	80.0	1311.618	80.6990385578838	1312.791	81.01837228336854	1312.563	80.9557091139477	9999999000.0	9999	1314.038	81.3458657733213	1306.765	79.43511699492865	1312.148	80.84611698644358	1308.764	79.95614400022396	1313.562	81.20584454717164	1310.468	80.40988215405423
1551882144.0394847	normal	1	nan	nan	80.0	80.0	1311.58	80.69143575204907	1312.664	80.98140349080086	1312.404	80.91402172574499	9999999000.0	9999	1313.899	81.30417343622867	1307.31	79.57506281935457	1312.266	80.87102396729415	1309.187	80.06596857741897	1313.327	81.15576349708863	1310.486	80.40332858654028
1551882159.6029155	normal	1	nan	nan	80.0	80.0	1311.575	80.68855193374611	1312.415	80.90353441572233	1312.199	80.8626342263492	9999999000.0	9999	1313.644	81.23914493482198	1307.726	79.68408841295286	1312.255	80.8707617875657	1309.488	80.15325421108264	1313.283	81.14527541570214	1310.459	80.40175573228089
1551882175.3529224	normal	1	nan	nan	80.0	80.0	1311.411	80.65289766191381	1312.677	80.97904379475449	1312.477	80.93263678344465	9999999000.0	9999	1313.9	81.30600893679457	1308.061	79.77188809325571	1312.367	80.90327223340046	1309.776	80.22402804774129	1313.322	81.14396440788232	1310.613	80.44212589648896
1551882190.9206176	normal	1	nan	nan	80.0	80.0	1311.644	80.70454404894872	1312.576	80.9557091139477	1312.436	80.91952757690206	9999999000.0	9999	1313.845	81.28214750939605	1308.356	79.84999246585267	1312.433	80.92057631150146	1309.972	80.27855115348166	1313.3	81.14475101251173	1310.811	80.48302085400928
1551882206.4915233	normal	1	nan	nan	80.0	80.0	1311.501	80.6681031129001	1312.28	80.88177335417504	1312.15	80.84297085491971	9999999000.0	9999	1313.51	81.2021736589436	1308.61	79.9168282175242	1312.342	80.89829077325885	1310.185	80.33150234284267	1313.171	81.10594540857892	1310.803	80.48459374715048
1551882222.0599227	normal	1	nan	nan	80.0	79.9	1311.371	80.64686793358533	1312.239	80.85870154265285	1312.069	80.82828894762451	9999999000.0	9999	1313.459	81.18722794205996	1308.79	79.96322089103842	1312.426	80.91323517633282	1310.3	80.36059964663036	1313.085	81.09545748616483	1310.803	80.48826383407413
1551882237.7944868	normal	1	nan	nan	80.0	79.9	1311.314	80.62458425094746	1311.968	80.79971185182876	1311.894	80.7766406162973	9999999000.0	9999	1313.241	81.13268976221707	1308.926	80.00096456597703	1312.355	80.89986386511919	1310.381	80.3805222734336	1312.951	81.05219515995623	1310.707	80.46178687026031
1551882253.372044	normal	1	nan	nan	80.0	79.9	1311.293	80.6266815322856	1312.274	80.87915154925531	1312.12	80.83562989307484	9999999000.0	9999	1313.406	81.17490433189414	1309.058	80.03503908911807	1312.443	80.92424688523442	1310.473	80.4043771564643	1313.107	81.09545748616483	1310.893	80.51343025478354
1551882268.9412396	normal	1	nan	nan	80.0	79.9	1311.405	80.64214902347794	1312.132	80.83274594826389	1311.977	80.79787663398338	9999999000.0	9999	1313.305	81.14396440788232	1309.203	80.07697744855341	1312.384	80.90694278780938	1310.556	80.43321296044815	1312.885	81.03882328342479	1310.786	80.48433159824162
1551882284.5088706	normal	1	nan	nan	80.0	79.9	1311.093	80.57529852470225	1311.78	80.7496369894875	1311.733	80.73574200582425	9999999000.0	9999	1312.934	81.05350613117207	1309.286	80.0924423536012	1312.271	80.87521884579701	1310.607	80.4418637509666	1312.684	80.98428756604699	1310.64	80.45130100294955
