0	26.9
120	29.7
180	32.4
300	35.7
420	38.5
540	41.4
600	45
720	48.7
840	53
960	56.5
1020	60.8
1140	64.9
1260	68.8
1380	73
1500	77.4
1560	81.5
1680	85.6
1800	89.7
1920	93.6
2040	95.9
2220	98
2340	98.6
2460	98.9
2640	98.7
2760	98.1
3000	95.9
3480	90.7
3660	89.1
4200	82.4
5100	72.5
5760	66.6
6360	61.1
7740	51.5
9180	44
