#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1543581332.8787484	normal	1	-1	-1	80.0	63.0	1267.02	69.05484758519788	1238.332	61.55870567619286	1264.31	68.33259636068215	1253.232	65.46630850040128	1259.777	67.15643583824613	1077.09	19.78498491651817	1077.076	19.779322205290555	1077.079	19.779064809553347	1077.073	19.77855001813805	1077.077	19.78035178843811
1543581342.327656	normal	1	-1	-1	80.0	63.5	1269.827	69.7843120273219	1240.094	62.04354708694518	1266.894	69.0302910590949	1256.0	66.15661120438199	1261.83	67.68962541193605	1077.049	19.77031336625896	1077.058	19.77365950364083	1077.05	19.777777831163803	1077.049	19.776748248807962	1077.063	19.77855001813805
1543581351.7765462	normal	1	-1	-1	80.0	64.0	1272.037	70.33595907128029	1241.383	62.355603604581574	1268.761	69.53060104614678	1257.588	66.59592243558245	1263.991	68.25580932673665	1077.032	19.770570761323143	1077.027	19.76696723222085	1077.013	19.765680258481552	1077.022	19.766709837433154	1077.017	19.765165469123986
1543581361.3999238	normal	1	-1	-1	80.0	64.6	1274.776	71.07799280236122	1243.131	62.82387400054313	1271.599	70.27297622504557	1259.273	66.9922140893691	1266.107	68.80693956001323	1076.954	19.75049400571561	1076.963	19.75126618639706	1076.965	19.752553154595716	1076.961	19.751780973617315	1076.969	19.75049400571561
1543581370.8438215	normal	1	-1	-1	80.0	65.1	1277.107	71.66227565690542	1245.041	63.30394610090207	1273.371	70.71205181042387	1261.484	67.59614128674912	1268.259	69.36599982831513	1077.139	19.807635857204787	1077.205	19.81355601469022	1077.204	19.816129999471286	1077.221	19.816129999471286	1077.222	19.81587260090373
1543581380.2937663	normal	1	-1	-1	80.0	65.7	1279.204	72.22155880819173	1246.644	63.74079147665043	1276.444	71.47665332451425	1264.511	68.40207188364275	1270.514	69.95494429219434	1076.983	19.76053236847065	1076.995	19.757186244207787	1076.979	19.754612304743205	1076.97	19.75152357999741	1076.962	19.755127092477778
1543581389.9163804	normal	1	-1	-1	80.0	66.2	1281.932	72.956955336987	1248.042	64.06448551130279	1278.171	71.9982525170467	1266.855	68.98614201979717	1272.675	70.52543754253975	1076.872	19.72526953470515	1076.862	19.726041709569017	1076.854	19.721666054359957	1076.842	19.718577360008112	1076.85	19.72115127176994
1543581399.369488	normal	1	-1	-1	80.0	66.8	1284.522	73.63784033689853	1250.095	64.63996191869774	1280.623	72.60126653712177	1268.031	69.35215279885051	1274.732	71.06178598454653	1076.851	19.725012143122967	1076.874	19.72552692630643	1076.861	19.724239968496477	1076.871	19.727586059831992	1076.871	19.728615627069303
1543581408.818755	normal	1	-1	-1	80.0	67.3	1286.302	74.11242428693458	1251.527	64.98513934116954	1282.987	73.2015136620912	1270.004	69.87028031916543	1277.024	71.65835395024487	1076.856	19.722180837028645	1076.863	19.72089388050472	1076.856	19.722953011180834	1076.858	19.724239968496477	1076.864	19.727586059831992
1543581418.442055	normal	1	-1	-1	80.0	67.8	1288.744	74.71713389034767	1253.138	65.405767093554	1285.383	73.85759507683679	1272.669	70.5196876908094	1279.172	72.22025135027388	1076.921	19.741742637101197	1076.93	19.74251481576448	1076.916	19.741227851424355	1076.927	19.738139139026316	1076.92	19.739426102179095
1543581428.065186	normal	1	-1	-1	80.0	68.4	1291.339	75.38163133160879	1254.312	65.73458291771067	1287.153	74.31703449356883	1273.725	70.8367285722743	1281.291	72.77387542414135	1076.945	19.744573959737863	1076.939	19.743286994606024	1076.925	19.745860925364468	1076.909	19.740455673057568	1076.917	19.741227851424355
1543581437.5143304	normal	1	-1	-1	80.0	69.0	1293.22	75.88500085789974	1255.515	66.01514611478615	1289.051	74.79564176574104	1275.965	71.37234338996359	1283.312	73.30483520063171	1076.913	19.739168709508704	1076.91	19.745088745929024	1076.931	19.738396531617127	1076.912	19.736594783895725	1076.908	19.74071306582664
1543581446.958764	normal	1	-1	-1	80.0	69.5	1295.615	76.54947225233354	1257.854	66.64630470307748	1291.526	75.48868580126464	1278.21	71.93811406452505	1285.281	73.81966017599098	1076.93	19.74251481576448	1076.931	19.741227851424355	1076.907	19.741742637101197	1076.912	19.736337391443158	1076.914	19.7355652142046
1543581456.4117365	normal	1	-1	-1	80.0	70.0	1296.989	76.88437688096246	1259.321	66.96532323012343	1292.145	75.6274168204609	1282.891	73.23107113842889	1286.833	74.21812925156792	1076.931	19.749464431749857	1076.958	19.745088745929024	1076.954	19.74920703830776	1076.958	19.754354910905477	1076.996	19.765680258481552
